Best 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
22037.64 26777.62 22213.96 22561.49 21599.26 21216.42 21480.83 21345.55 21477.98 21408.04 21356.4 21191.93 20606.52 21171.06 21008.38 21290.22 21301.86 21266.2 21283.04 21284.17 20973.96 
41365.02 26745.23 25868.45 26684.99 25181.74 24133.17 25520.84 25316.06 26039.54 24732.76 24798.54 25668.82 24359.38 25805.16 25568.06 26143.12 26100.47 27411.88 25926.46 25543.23 26541.68 
24736.94 26082.69 21326.49 21172.38 20818.74 20528.93 21263.19 21434.79 22041.65 21715.69 21654.12 22075.78 22096.04 21820.23 21884.15 22146.1 21723.91 22006.21 22290.98 22236.41 22281.77 
24205.6 28661.55 23630.09 23121.52 22697.03 22801.86 23337.51 23192.72 23187.02 23294.04 23233.47 23716.19 23424.91 23650.2 23697.76 23447.91 23250.23 23642.5 23837.41 23700.84 23710.21 
26339.25 26695.84 23443.8 23263.17 22512.7 22650.08 23276.26 23144.65 23150.18 23212.33 23278.24 23385.87 23232.08 23233.42 23442.31 23040.5 23341.87 23530.47 23238.82 23601.93 23422.23 
23586.2 25523.75 23388.37 24611.74 23367.64 22652.98 25039.99 25311.09 24447.72 25599.47 25640.56 25740.48 25305.49 25981.17 25853.95 25826.48 26787.98 26393.36 26482.67 25877.7 26526.89 
22548.49 27178.3 21954.63 21456.76 21008.42 20578.79 20864.61 20967.32 20890.69 20878.27 20799.59 20839.54 21030.15 20681.97 20640.66 20999.15 20883.89 20851.02 20709.3 21169.52 21049.7 
29341.82 32851.05 31490.91 30977.46 30141.41 30333.15 30755.89 29922.19 30063.58 30111.58 29947.75 29781.42 29946.46 29741.93 29936.94 29426.86 29583.39 29601.59 29798.15 29517.3 30113.51 
24421.61 27956.99 23225.11 22636.43 22774.29 22048.58 22357.12 22587.19 22198.77 22650.29 22036.59 22698.93 22861.07 22572.68 22484.14 22289.18 22623.99 22463.85 22044.16 22250.73 22618.31 
39390.58 35486.92 32155.94 31173.66 32231.33 32219.69 33520.94 32398.35 33414.24 33671.04 32915.25 32464.81 33300.12 32504.11 33248.13 33689.78 33227.99 33550.7 33236.32 33437.57 32503.8 
29664.79 34033.84 30502.47 30334.49 29851.09 30272.92 31093.14 30435.93 30742.08 31123.19 30414.6 30844.09 31645.13 30627.98 31177.2 30626.1 30055.91 30813.26 30585.65 30465.83 29860.58 
33354.22 23970.51 21142.33 20762.04 20219.06 20257.68 20223.86 19903.46 19565.23 19741.53 19709.51 19795.97 20181.66 19844.78 20170.14 19913.59 20095.51 19875.1 20344.3 20091.6 20405.07 
24871.23 27432.81 25462.46 26538.42 25510.15 24994.37 25887.8 24845.38 24633.7 25106.89 24510.91 24180.89 23716.24 23843.54 24216.59 23875.81 23670.93 24027.89 23832.41 23913.75 23807.56 
28767.68 25761.02 20667.83 19950.33 20442.73 19728.58 19967.04 20416.47 20732.16 19921.9 19852.26 19981.45 20787.48 20489.85 20629.52 20682.58 20389.31 21212.91 21321.17 20670.32 21028.51 
29252.2 30006.9 26585.67 25491.66 25804.74 25778.23 25920.28 27886.09 28248.54 28333.01 27720.94 29491.04 28518.5 28526.12 28709.52 28690.27 28103.08 28444.81 28895.32 29134.93 28448.48 
34905.48 25150.75 24342.81 24662.86 24573.31 24154.42 24217.67 22629.82 23515.78 23608.73 23963.96 24334.36 25250.78 23660.75 24752.93 25714.43 23674.32 24087.25 23349.27 23832.17 24529.25 
39995.19 34602.21 31676.63 31589.74 30792.9 32875.65 33375.27 32864.71 32552.26 33622.16 33130.94 33179.49 33967.86 33946.98 32988.47 33255.9 33301.84 33673.87 33146.75 33606.69 33546.29 
42241.01 35374.92 32201.11 33376.1 33982.58 34844.33 34153.19 35907.91 32812.73 34394.16 36415.07 36214.01 35148.88 35375.72 37565.79 35525.19 36585.32 35664.03 36123.8 36014.42 36125.16 
41022.71 36075.2 33312.84 32046.23 32117.76 31908.12 33036.32 32798.21 33068.86 33404.03 32650.26 32651.55 32942.49 32963.61 33129.7 33031.79 33784.65 33405.06 34516.55 33366.88 33289.73 
26419.11 27681.97 26920.32 26966.04 26928.2 26013.86 26642.25 24765.97 25303.97 26038.76 26663.61 25764.55 26986.94 26169.19 25662.21 26846.49 25833.59 27099.44 26319.39 26173.63 26766.18 
